,imprace,imprelig,dec_o,match,dec_u
0,-0.6271878559914659,0.12418031794047753,0,0,1
1,-0.6271878559914659,0.12418031794047753,0,0,1
2,-0.6271878559914659,0.12418031794047753,1,1,1
3,-0.6271878559914659,0.12418031794047753,1,1,1
4,-0.6271878559914659,0.12418031794047753,1,1,1
5,-0.6271878559914659,0.12418031794047753,1,0,0
6,-0.6271878559914659,0.12418031794047753,0,0,1
7,-0.6271878559914659,0.12418031794047753,0,0,1
8,-0.6271878559914659,0.12418031794047753,1,1,1
9,-0.6271878559914659,0.12418031794047753,0,0,1
10,-0.6271878559914659,0.4806564364420422,0,0,1
11,-0.6271878559914659,0.4806564364420422,0,0,1
12,-0.6271878559914659,0.4806564364420422,1,0,0
13,-0.6271878559914659,0.4806564364420422,1,1,1
14,-0.6271878559914659,0.4806564364420422,1,0,0
15,-0.6271878559914659,0.4806564364420422,1,0,0
16,-0.6271878559914659,0.4806564364420422,0,0,1
17,-0.6271878559914659,0.4806564364420422,1,0,0
18,-0.6271878559914659,0.4806564364420422,1,1,1
19,-0.6271878559914659,0.4806564364420422,0,0,1
20,1.481250714170501,0.12418031794047753,0,0,1
21,1.481250714170501,0.12418031794047753,0,0,1
22,1.481250714170501,0.12418031794047753,1,0,0
23,1.481250714170501,0.12418031794047753,1,0,0
24,1.481250714170501,0.12418031794047753,1,0,0
25,1.481250714170501,0.12418031794047753,1,0,0
26,1.481250714170501,0.12418031794047753,0,0,1
27,1.481250714170501,0.12418031794047753,0,0,1
28,1.481250714170501,0.12418031794047753,1,0,0
29,1.481250714170501,0.12418031794047753,0,0,1
30,-0.9785942843517937,-0.9452480375642165,0,0,1
31,-0.9785942843517937,-0.9452480375642165,0,0,1
32,-0.9785942843517937,-0.9452480375642165,1,0,0
33,-0.9785942843517937,-0.9452480375642165,1,1,1
34,-0.9785942843517937,-0.9452480375642165,1,0,0
35,-0.9785942843517937,-0.9452480375642165,1,0,0
36,-0.9785942843517937,-0.9452480375642165,1,0,0
37,-0.9785942843517937,-0.9452480375642165,0,0,1
38,-0.9785942843517937,-0.9452480375642165,1,1,1
39,-0.9785942843517937,-0.9452480375642165,0,0,1
40,1.481250714170501,-0.9452480375642165,0,0,1
41,1.481250714170501,-0.9452480375642165,0,0,1
42,1.481250714170501,-0.9452480375642165,1,0,0
43,1.481250714170501,-0.9452480375642165,1,1,1
44,1.481250714170501,-0.9452480375642165,0,0,1
45,1.481250714170501,-0.9452480375642165,0,0,1
