,iid,pid,gender,age,imprace,match,dec_u,std_from
0,1,11.0,0,-1.5024627629046403,-0.6271878559914659,0,1,-1.0976900852880764
1,1,12.0,0,-1.5024627629046403,-0.6271878559914659,0,1,-1.0976900852880764
2,1,13.0,0,-1.5024627629046403,-0.6271878559914659,1,1,-1.0976900852880764
3,1,14.0,0,-1.5024627629046403,-0.6271878559914659,1,1,-1.0976900852880764
4,1,15.0,0,-1.5024627629046403,-0.6271878559914659,1,1,-1.0976900852880764
5,1,16.0,0,-1.5024627629046403,-0.6271878559914659,0,0,-1.0976900852880764
6,1,17.0,0,-1.5024627629046403,-0.6271878559914659,0,1,-1.0976900852880764
7,1,18.0,0,-1.5024627629046403,-0.6271878559914659,0,1,-1.0976900852880764
8,1,19.0,0,-1.5024627629046403,-0.6271878559914659,1,1,-1.0976900852880764
9,1,20.0,0,-1.5024627629046403,-0.6271878559914659,0,1,-1.0976900852880764
10,2,11.0,0,-0.6613638804270019,-0.6271878559914659,0,1,-1.7820280730565274
11,2,12.0,0,-0.6613638804270019,-0.6271878559914659,0,1,-1.7820280730565274
12,2,13.0,0,-0.6613638804270019,-0.6271878559914659,0,0,-1.7820280730565274
13,2,14.0,0,-0.6613638804270019,-0.6271878559914659,1,1,-1.7820280730565274
14,2,15.0,0,-0.6613638804270019,-0.6271878559914659,0,0,-1.7820280730565274
15,2,16.0,0,-0.6613638804270019,-0.6271878559914659,0,0,-1.7820280730565274
16,2,17.0,0,-0.6613638804270019,-0.6271878559914659,0,1,-1.7820280730565274
17,2,18.0,0,-0.6613638804270019,-0.6271878559914659,0,0,-1.7820280730565274
18,2,19.0,0,-0.6613638804270019,-0.6271878559914659,1,1,-1.7820280730565274
19,2,20.0,0,-0.6613638804270019,-0.6271878559914659,0,1,-1.7820280730565274
20,3,11.0,0,-0.380997586267789,1.481250714170501,0,1,-0.9693767125814918
21,3,12.0,0,-0.380997586267789,1.481250714170501,0,1,-0.9693767125814918
22,3,13.0,0,-0.380997586267789,1.481250714170501,0,0,-0.9693767125814918
23,3,14.0,0,-0.380997586267789,1.481250714170501,0,0,-0.9693767125814918
24,3,15.0,0,-0.380997586267789,1.481250714170501,0,0,-0.9693767125814918
25,3,16.0,0,-0.380997586267789,1.481250714170501,0,0,-0.9693767125814918
26,3,17.0,0,-0.380997586267789,1.481250714170501,0,1,-0.9693767125814918
27,3,18.0,0,-0.380997586267789,1.481250714170501,0,1,-0.9693767125814918
28,3,19.0,0,-0.380997586267789,1.481250714170501,0,0,-0.9693767125814918
29,3,20.0,0,-0.380997586267789,1.481250714170501,0,1,-0.9693767125814918
30,4,11.0,0,-0.9417301745862148,-0.9785942843517936,0,1,1.1549224577830746
31,4,12.0,0,-0.9417301745862148,-0.9785942843517936,0,1,1.1549224577830746
32,4,13.0,0,-0.9417301745862148,-0.9785942843517936,0,0,1.1549224577830746
33,4,14.0,0,-0.9417301745862148,-0.9785942843517936,1,1,1.1549224577830746
34,4,15.0,0,-0.9417301745862148,-0.9785942843517936,0,0,1.1549224577830746
35,4,16.0,0,-0.9417301745862148,-0.9785942843517936,0,0,1.1549224577830746
36,4,17.0,0,-0.9417301745862148,-0.9785942843517936,0,0,1.1549224577830746
37,4,18.0,0,-0.9417301745862148,-0.9785942843517936,0,1,1.1549224577830746
38,4,19.0,0,-0.9417301745862148,-0.9785942843517936,1,1,1.1549224577830746
39,4,20.0,0,-0.9417301745862148,-0.9785942843517936,0,1,1.1549224577830746
40,5,11.0,0,-1.5024627629046403,1.481250714170501,0,1,-1.3970879549367736
41,5,12.0,0,-1.5024627629046403,1.481250714170501,0,1,-1.3970879549367736
42,5,13.0,0,-1.5024627629046403,1.481250714170501,0,0,-1.3970879549367736
43,5,14.0,0,-1.5024627629046403,1.481250714170501,1,1,-1.3970879549367736
44,5,15.0,0,-1.5024627629046403,1.481250714170501,0,1,-1.3970879549367736
45,5,16.0,0,-1.5024627629046403,1.481250714170501,0,1,-1.3970879549367736
46,5,17.0,0,-1.5024627629046403,1.481250714170501,0,1,-1.3970879549367736
47,5,18.0,0,-1.5024627629046403,1.481250714170501,0,1,-1.3970879549367736
48,5,19.0,0,-1.5024627629046403,1.481250714170501,1,1,-1.3970879549367736
49,5,20.0,0,-1.5024627629046403,1.481250714170501,0,1,-1.3970879549367736
50,6,11.0,0,-0.9417301745862148,-0.9785942843517936,0,1,-0.18523943493014183
51,6,12.0,0,-0.9417301745862148,-0.9785942843517936,0,1,-0.18523943493014183
52,6,13.0,0,-0.9417301745862148,-0.9785942843517936,0,0,-0.18523943493014183
53,6,14.0,0,-0.9417301745862148,-0.9785942843517936,1,1,-0.18523943493014183
54,6,15.0,0,-0.9417301745862148,-0.9785942843517936,0,0,-0.18523943493014183
55,6,16.0,0,-0.9417301745862148,-0.9785942843517936,0,0,-0.18523943493014183
56,6,17.0,0,-0.9417301745862148,-0.9785942843517936,0,1,-0.18523943493014183
57,6,18.0,0,-0.9417301745862148,-0.9785942843517936,0,1,-0.18523943493014183
58,6,19.0,0,-0.9417301745862148,-0.9785942843517936,1,1,-0.18523943493014183
59,6,20.0,0,-0.9417301745862148,-0.9785942843517936,0,1,-0.18523943493014183
60,7,11.0,0,-1.2220964687454277,-0.6271878559914659,0,1,1.0123520436646474
61,7,12.0,0,-1.2220964687454277,-0.6271878559914659,0,0,1.0123520436646474
62,7,13.0,0,-1.2220964687454277,-0.6271878559914659,0,0,1.0123520436646474
63,7,14.0,0,-1.2220964687454277,-0.6271878559914659,1,1,1.0123520436646474
64,7,15.0,0,-1.2220964687454277,-0.6271878559914659,0,0,1.0123520436646474
65,7,16.0,0,-1.2220964687454277,-0.6271878559914659,0,0,1.0123520436646474
66,7,17.0,0,-1.2220964687454277,-0.6271878559914659,0,1,1.0123520436646474
67,7,18.0,0,-1.2220964687454277,-0.6271878559914659,0,0,1.0123520436646474
68,7,19.0,0,-1.2220964687454277,-0.6271878559914659,1,1,1.0123520436646474
69,7,20.0,0,-1.2220964687454277,-0.6271878559914659,0,1,1.0123520436646474
70,8,11.0,0,-0.380997586267789,-0.9785942843517936,0,1,-0.28503872481304093
71,8,12.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
72,8,13.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
73,8,14.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
74,8,15.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
75,8,16.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
76,8,17.0,0,-0.380997586267789,-0.9785942843517936,0,1,-0.28503872481304093
77,8,18.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
78,8,19.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
79,8,20.0,0,-0.380997586267789,-0.9785942843517936,1,1,-0.28503872481304093
80,9,11.0,0,-0.1006312921085762,-0.9785942843517936,0,1,0.4420703871909382
81,9,12.0,0,-0.1006312921085762,-0.9785942843517936,1,1,0.4420703871909382
82,9,13.0,0,-0.1006312921085762,-0.9785942843517936,1,1,0.4420703871909382
83,9,14.0,0,-0.1006312921085762,-0.9785942843517936,1,1,0.4420703871909382
84,9,15.0,0,-0.1006312921085762,-0.9785942843517936,1,1,0.4420703871909382
